Port_IDs,total_realized_profit,total_quantity,total_positions,win_positions,ROI,Win_Rate,sharpe_ratio,max_drawdown,score
3.76817E+18,0.038725612,2775.560153,14,6,0.723344249,0.6,,1,
3.78676E+18,0.035166367,61740.0093,82,37,0.035900488,0.631707317,,0.713236966,
3.81955E+18,0.106543919,142075.8616,68,26,0.065014827,0.535294118,,1,
3.82609E+18,0.065339997,4373.742334,108,63,1,0.816666667,,0.993771982,
3.88092E+18,0,162140.697,145,49,0,0.473103448,,0,
3.91089E+18,0.182360179,202111.7928,75,17,0.081487821,0.317333333,,0.955800167,
3.912E+18,0.072068957,97435.47094,64,30,0.059468433,0.65625,,1,
3.93641E+18,1,596381.514,20,6,0.154636823,0.42,,1,
3.94102E+18,0.406223639,865365.3322,112,55,0.0486948,0.6875,,0.698782679,
3.94466E+18,0.207331579,99562.15156,45,20,0.178442906,0.622222222,,1,
3.95605E+18,0.142783496,123238.1708,28,20,0.099581811,1,,1,
3.97723E+18,0.239826676,59166.71209,83,33,0.342746334,0.556626506,,1,
3.98181E+18,0.277510149,256545.0986,105,12,0.098856015,0.16,,1,
3.98307E+18,0.239599817,89182.84576,43,14,0.230151135,0.455813953,,1,
3.99866E+18,0.149760718,471476.0509,147,72,0.033892738,0.685714286,,1,
4.00471E+18,0.169825723,51922.30061,27,2,0.270192184,0.103703704,,1,
4.0237E+18,0.23807053,75586.8848,42,4,0.26816454,0.133333333,,1,
4.0237E+18,0.306564108,95292.77542,70,6,0.278061927,0.12,,1,
4.02843E+18,0.258773492,297328.3403,121,36,0.080945079,0.416528926,,0.988497139,
4.02942E+18,0.274142206,215737.0328,102,38,0.114496875,0.521568627,,1,
4.02951E+18,0.238570607,79154.03182,52,3,0.257037737,0.080769231,,0.999803933,
4.02951E+18,0.157917951,44938.91496,53,2,0.287384501,0.052830189,,1,
4.03039E+18,0.140406809,43976.05401,85,8,0.258294416,0.131764706,,1,
4.03056E+18,0.325575272,502090.1818,121,32,0.063310917,0.370247934,,1,
4.03057E+18,0.27321902,320313.7762,105,51,0.079758672,0.68,,0.9960233,
4.03071E+18,0.164819908,50385.28877,60,2,0.269384226,0.046666667,,1,
4.03141E+18,0.140729933,44266.8266,82,4,0.257301116,0.068292683,,1,
4.03145E+18,0.304039836,299729.0978,114,44,0.093713594,0.540350877,,0.955471553,
4.03364E+18,0.278584809,402568.4566,149,25,0.066453331,0.234899329,,1,
4.03543E+18,0.245947094,130569.5384,89,43,0.164309057,0.676404494,,1,
4.03655E+18,0.319911088,586961.1615,147,68,0.054587126,0.647619048,,1,
4.03718E+18,0.230998631,320791.8087,73,31,0.068022601,0.594520548,,1,
4.03877E+18,0.176706668,105346.0022,100,22,0.143443675,0.308,,1,
4.03913E+18,0.13271974,39977.7842,133,59,0.266247581,0.621052632,,1,
4.04038E+18,0.0162849,19559.4294,76,0,0.008875449,0,,0,
4.04084E+18,0.214446301,218331.0801,59,19,0.089080328,0.450847458,,1,
4.04186E+18,0.230621142,173806.662,97,38,0.117850349,0.548453608,,1,
